Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_Easting,UTM_Northing,Zone,Letter
1698708426.2444842,232,1698708426,242629528,GPS1_Frame,42.273018333333326,-71.03119,14.9,332499.25591813563,4682087.463000911,19,T
1698708427.2430975,233,1698708427,241083145,GPS1_Frame,42.27291666666667,-71.03123833333333,14.6,332495.0006526223,4682076.268934151,19,T
1698708428.2401824,234,1698708428,239344358,GPS1_Frame,42.27281166666667,-71.031285,14.2,332490.8739907898,4682064.701454257,19,T
1698708429.2404382,235,1698708429,238889455,GPS1_Frame,42.272704999999995,-71.03133,14.1,332486.8803481502,4682052.945629193,19,T
1698708430.2411418,236,1698708430,239406585,GPS1_Frame,42.27259833333333,-71.03137833333334,13.9,332482.61179944605,4682041.1963648265,19,T
1698708431.2408898,237,1698708431,239703893,GPS1_Frame,42.272491666666674,-71.03142833333332,13.6,332478.20579057425,4682029.450382232,19,T
1698708432.2400084,238,1698708432,239041566,GPS1_Frame,42.27238333333333,-71.03148333333334,13.3,332473.3830101063,4682017.529172412,19,T
1698708433.276025,239,1698708433,273891210,GPS1_Frame,42.27227666666666,-71.03154166666667,13.2,332468.2897349622,4682005.79959293,19,T
1698708434.2415943,240,1698708434,239881753,GPS1_Frame,42.27217166666666,-71.03160666666666,13.2,332462.65106814064,4681994.268203666,19,T
1698708435.2410846,241,1698708435,239642858,GPS1_Frame,42.27207,-71.03167833333333,13.0,332456.4714233733,4681983.120074021,19,T
1698708436.2412217,242,1698708436,239840030,GPS1_Frame,42.271969999999996,-71.03175666666667,12.9,332449.7463826316,4681972.170137199,19,T
1698708437.2430108,243,1698708437,240901231,GPS1_Frame,42.271875,-71.03184166666666,12.8,332442.48477663926,4681961.788531008,19,T
1698708438.242999,244,1698708438,240958690,GPS1_Frame,42.27178333333333,-71.03192833333333,12.6,332435.09453436313,4681951.780348361,19,T
1698708439.2434063,245,1698708439,241332530,GPS1_Frame,42.27169166666666,-71.032015,12.6,332427.7042717413,4681941.77217303,19,T
1698708440.2401166,246,1698708440,238177537,GPS1_Frame,42.27160166666666,-71.03210333333332,12.5,332420.180956512,4681931.952353633,19,T
1698708441.2413678,247,1698708441,239263534,GPS1_Frame,42.27151166666666,-71.03219333333332,12.4,332412.52017148194,4681922.1358224405,19,T
1698708442.2409844,248,1698708442,239524126,GPS1_Frame,42.271420000000006,-71.03228166666666,12.3,332404.9923979563,4681912.130950234,19,T
1698708443.242583,249,1698708443,240081310,GPS1_Frame,42.27132833333334,-71.03236833333334,12.3,332397.6020535027,4681902.122804736,19,T
1698708444.242889,250,1698708444,240410089,GPS1_Frame,42.271235,-71.03245833333334,12.3,332389.932370945,4681891.93616047,19,T
1698708445.2437334,251,1698708445,241176605,GPS1_Frame,42.27114166666667,-71.03254666666666,12.4,332382.4001170952,4681881.746242923,19,T
1698708446.2391384,252,1698708446,237650394,GPS1_Frame,42.27105166666667,-71.032635,12.4,332374.8766782904,4681871.926469262,19,T
1698708447.242003,253,1698708447,240836620,GPS1_Frame,42.27096333333334,-71.03272333333332,12.4,332367.3576373701,4681862.291771335,19,T
1698708448.2426076,254,1698708448,240349531,GPS1_Frame,42.270875,-71.03281,12.5,332359.97602725413,4681852.653799403,19,T
1698708449.2719297,255,1698708449,270783185,GPS1_Frame,42.270786666666666,-71.032895,12.6,332352.7318485193,4681843.012553051,19,T
1698708450.2435832,256,1698708450,242331981,GPS1_Frame,42.270701666666675,-71.03297833333333,12.7,332345.6339393417,4681833.738168141,19,T
1698708451.2412915,257,1698708451,239945888,GPS1_Frame,42.270619999999994,-71.03306500000001,12.9,332338.26994720974,4681824.840490262,19,T
1698708452.2414932,258,1698708452,240203619,GPS1_Frame,42.27054,-71.03315500000001,13.2,332330.6354529784,4681816.134452115,19,T
1698708453.2427313,259,1698708453,240267038,GPS1_Frame,42.270463333333325,-71.03324500000001,13.4,332323.0097789529,4681807.7985580955,19,T
1698708454.2418804,260,1698708454,240218639,GPS1_Frame,42.27038833333333,-71.03333833333333,13.7,332315.1136029716,4681799.654304957,19,T
1698708455.2734747,261,1698708455,271369695,GPS1_Frame,42.270318333333336,-71.03343166666667,13.9,332307.2306682099,4681792.065264653,19,T
1698708456.241869,262,1698708456,240129709,GPS1_Frame,42.270251666666674,-71.03353,14.1,332298.9441999771,4681784.856217296,19,T
1698708457.2421997,263,1698708457,241093397,GPS1_Frame,42.27018833333333,-71.03363166666666,14.4,332290.39165051613,4681778.023881384,19,T
1698708458.2416177,264,1698708458,239968299,GPS1_Frame,42.27013,-71.03373666666667,14.7,332281.5774406889,4681771.753326028,19,T
